data_date,trx_channel,trx_type,trans_id
7/1/2025,Payment Gateway,Online Payment,103
7/1/2025,NEW_JC_APP,Transfer(C2C),53
7/1/2025,THIRD_PARTY_WEB,Get Loan,32
7/1/2025,NEW_JC_APP,Transfer(C2B),15
7/1/2025,NEW_JC_APP,IBFT Outgoing Customer,7
7/1/2025,Self Care App,Utility Bills Payment,5
7/1/2025,BISP,IBFT Outgoing Customer,4
7/1/2025,USSD_API,IBFT Outgoing Customer,4
7/1/2025,USSD_API,Transfer(C2C),4
7/1/2025,NEW_JC_APP,Utility Bills Payment,3
7/1/2025,QR Payment,Merchant Payment,3
7/1/2025,USSD,Merchant Payment,3
7/1/2025,API,Transfer(C2C),1
7/1/2025,Cheetay,Transfer(C2B),1
7/2/2025,Payment Gateway,Online Payment,158
7/2/2025,NEW_JC_APP,Transfer(C2C),56
7/2/2025,THIRD_PARTY_WEB,Get Loan,38
7/2/2025,NEW_JC_APP,Transfer(C2B),16
7/2/2025,NEW_JC_APP,IBFT Outgoing Customer,10
7/2/2025,Self Care App,Utility Bills Payment,9
7/2/2025,USSD,Cash in,5
7/2/2025,NEW_JC_APP,Utility Bills Payment,4
7/2/2025,QR Payment,Merchant Payment,4
7/2/2025,USSD_API,IBFT Outgoing Customer,4
7/2/2025,USSD_API,Transfer(C2C),4
7/2/2025,BISP,IBFT Outgoing Customer,2
7/2/2025,NEW_JC_APP,Customer Remit To CNIC,1
7/2/2025,NEW_JC_APP,Merchant Payment,1
7/2/2025,Payment Gateway,Transfer(C2B),1
7/2/2025,Self Care App,Jazz Load (Prepaid top-up),1
7/2/2025,USSD,Merchant Payment,1
7/3/2025,Payment Gateway,Online Payment,147
7/3/2025,NEW_JC_APP,Transfer(C2C),64
7/3/2025,THIRD_PARTY_WEB,Get Loan,36
7/3/2025,NEW_JC_APP,Transfer(C2B),18
7/3/2025,QR Payment,Merchant Payment,10
7/3/2025,USSD_API,Transfer(C2C),6
7/3/2025,NEW_JC_APP,IBFT Outgoing Customer,3
7/3/2025,USSD_API,IBFT Outgoing Customer,3
7/3/2025,BISP,IBFT Outgoing Customer,2
7/3/2025,Self Care App,Utility Bills Payment,2
7/3/2025,API,Transfer(C2C),1
7/3/2025,Business App,Transfer(B2C),1
7/3/2025,NEW_JC_APP,Utility Bills Payment,1
7/3/2025,USSD,Cash out,1
7/3/2025,USSD,Merchant Payment,1
7/4/2025,Payment Gateway,Online Payment,105
7/4/2025,NEW_JC_APP,Transfer(C2C),48
7/4/2025,THIRD_PARTY_WEB,Get Loan,28
7/4/2025,NEW_JC_APP,Transfer(C2B),17
7/4/2025,QR Payment,Merchant Payment,5
7/4/2025,NEW_JC_APP,IBFT Outgoing Customer,4
7/4/2025,NEW_JC_APP,Utility Bills Payment,4
7/4/2025,USSD_API,IBFT Outgoing Customer,4
7/4/2025,USSD_API,Transfer(C2C),4
7/4/2025,USSD_API,Transfer(C2B),3
7/4/2025,NEW_JC_APP,Merchant Payment,1
7/4/2025,USSD,Cash in,1
7/4/2025,USSD,Cash out,1
7/4/2025,USSD,Merchant Payment,1
7/4/2025,USSD_API,Transfer(B2C),1
7/5/2025,Payment Gateway,Online Payment,43
7/5/2025,NEW_JC_APP,Transfer(C2C),36
7/5/2025,THIRD_PARTY_WEB,Get Loan,18
7/5/2025,NEW_JC_APP,Transfer(C2B),13
7/5/2025,NEW_JC_APP,Merchant Payment,6
7/5/2025,USSD,Merchant Payment,6
7/5/2025,QR Payment,Merchant Payment,5
7/5/2025,USSD_API,Transfer(C2C),4
7/5/2025,NEW_JC_APP,IBFT Outgoing Customer,3
7/5/2025,Cheetay,Transfer(C2B),2
7/5/2025,USSD_API,IBFT Outgoing Customer,2
7/5/2025,USSD,Cash in,1
7/5/2025,USSD_API,Transfer(C2B),1
7/6/2025,NEW_JC_APP,Transfer(C2B),20
7/6/2025,NEW_JC_APP,Transfer(C2C),13
7/6/2025,Payment Gateway,Online Payment,13
7/6/2025,THIRD_PARTY_WEB,Get Loan,7
7/6/2025,NEW_JC_APP,IBFT Outgoing Customer,3
7/6/2025,USSD_API,Transfer(C2C),3
7/6/2025,USSD_API,Transfer(C2B),2
7/6/2025,Cheetay,Transfer(C2B),1
7/7/2025,Payment Gateway,Online Payment,99
7/7/2025,NEW_JC_APP,Transfer(C2C),45
7/7/2025,THIRD_PARTY_WEB,Get Loan,28
7/7/2025,NEW_JC_APP,Transfer(C2B),10
7/7/2025,NEW_JC_APP,IBFT Outgoing Customer,6
7/7/2025,USSD_API,IBFT Outgoing Customer,6
7/7/2025,USSD,Cash in,5
7/7/2025,BISP,IBFT Outgoing Customer,3
7/7/2025,Self Care App,Utility Bills Payment,3
7/7/2025,USSD,Merchant Payment,3
7/7/2025,USSD_API,Transfer(C2C),3
7/7/2025,NEW_JC_APP,Merchant Payment,2
7/7/2025,Payment Gateway,Transfer(C2B),2
7/7/2025,QR Payment,Merchant Payment,2
7/7/2025,Business App,Merchant Payment,1
7/7/2025,Cheetay,Transfer(C2B),1
7/7/2025,Mobile App,Jazz Load (Prepaid top-up),1
7/7/2025,NEW_JC_APP,Utility Bills Payment,1
7/7/2025,USSD,Utility Bills Payment,1
7/8/2025,Payment Gateway,Online Payment,45
7/8/2025,NEW_JC_APP,Transfer(C2C),36
7/8/2025,THIRD_PARTY_WEB,Get Loan,16
7/8/2025,NEW_JC_APP,Transfer(C2B),14
7/8/2025,USSD,Cash in,5
7/8/2025,NEW_JC_APP,IBFT Outgoing Customer,4
7/8/2025,USSD_API,Transfer(C2C),4
7/8/2025,QR Payment,Merchant Payment,3
7/8/2025,USSD_API,Transfer(C2B),3
7/8/2025,USSD_API,IBFT Outgoing Customer,2
7/8/2025,BISP,IBFT Outgoing Customer,1
7/9/2025,Payment Gateway,Online Payment,71
7/9/2025,NEW_JC_APP,Transfer(C2C),49
7/9/2025,THIRD_PARTY_WEB,Get Loan,25
7/9/2025,NEW_JC_APP,Transfer(C2B),12
7/9/2025,QR Payment,Merchant Payment,8
7/9/2025,USSD_API,Transfer(C2C),8
7/9/2025,USSD_API,IBFT Outgoing Customer,7
7/9/2025,BISP,IBFT Outgoing Customer,4
7/9/2025,NEW_JC_APP,IBFT Outgoing Customer,3
7/9/2025,Business App,Transfer(B2C),1
7/9/2025,Payment Gateway,Transfer(C2B),1
7/9/2025,USSD,Merchant Payment,1
7/10/2025,NEW_JC_APP,Transfer(C2C),52
7/10/2025,Payment Gateway,Online Payment,47
7/10/2025,THIRD_PARTY_WEB,Get Loan,20
7/10/2025,NEW_JC_APP,Transfer(C2B),11
7/10/2025,BISP,IBFT Outgoing Customer,7
7/10/2025,USSD_API,Transfer(C2C),7
7/10/2025,NEW_JC_APP,IBFT Outgoing Customer,5
7/10/2025,Self Care App,Utility Bills Payment,3
7/10/2025,USSD_API,Transfer(C2B),2
7/10/2025,Business App,IBFT Outgoing OTC,1
7/10/2025,NEW_JC_APP,Jazz Load (Prepaid top-up),1
7/10/2025,NEW_JC_APP,Utility Bills Payment,1
7/10/2025,QR Payment,Merchant Payment,1
7/10/2025,USSD,Cash out,1
7/10/2025,USSD,Utility Bills Payment,1
7/10/2025,USSD_API,IBFT Outgoing Customer,1
7/11/2025,Payment Gateway,Online Payment,62
7/11/2025,NEW_JC_APP,Transfer(C2C),30
7/11/2025,THIRD_PARTY_WEB,Get Loan,14
7/11/2025,NEW_JC_APP,Transfer(C2B),13
7/11/2025,NEW_JC_APP,IBFT Outgoing Customer,6
