ac_from,ac_to,fraud_flag,trx_channel,trx_type,start_balance,trx_amt,mbar_region,mbar_city,mbar_registered_channel,mbar_registered_date_time,mbar_a_c_status,mbar_a_c_level,mbar_agent_group,mbar_limit_group,mbar_charge_profile,mbar_credit_dl_ml_yl,mbar_debit_dl_ml_yl,mbar_year_of_birth,mbar_last_modified_date_time,mbar_dormant_date,mbar_re_active_date,mbar_place_of_birth,mbar_account_type_name,hour_of_day,day_of_week,is_weekend,is_night,is_business_hours,is_unusual_hour,night_weekend_combo,start_balance_log,balance_change,balance_change_pct,txn_txns_3d,txn_total_amount_3d,txn_avg_amount_3d,txn_max_amount_3d,txn_min_amount_3d,txn_unique_recipients_3d,txn_unique_channels_3d,txn_unique_types_3d,txn_is_high_activity_3d,txn_multi_channel_recent,txn_amount_deviation_from_avg,txn_night_txns_3d,txn_weekend_txns_3d,user_total_txns_3d,user_total_amount_3d,user_avg_amount_3d,user_median_amount_3d,user_max_amount_3d,user_min_amount_3d,user_unique_recipients_3d,user_unique_channels_3d,user_unique_types_3d,user_total_txns_7d,user_total_amount_7d,user_avg_amount_7d,user_median_amount_7d,user_max_amount_7d,user_min_amount_7d,user_unique_recipients_7d,user_unique_channels_7d,user_unique_types_7d,user_most_used_channel_7d,user_last_used_channel,user_channel_diversity_score_7d,user_most_used_type_7d,user_last_used_type,user_type_diversity_score_7d,user_night_txns_7d,user_weekend_txns_7d,user_peak_hour_txns_7d,user_off_peak_hour_txns_7d,user_avg_start_balance_7d,user_avg_end_balance_7d,user_min_balance_7d,user_max_balance_7d,user_balance_volatility_7d,user_avg_amount_per_recipient_7d,user_max_amount_to_single_recipient_7d,user_recipient_concentration_ratio_7d,user_avg_time_between_txns_7d,user_txn_frequency_score_7d,user_days_since_last_txn,ac_from_id,ac_to_id,trx_channel_id,trx_type_id,mbar_region_id,mbar_city_id,mbar_registered_channel_id,mbar_a_c_status_id,mbar_a_c_level_id,mbar_agent_group_id,mbar_account_type_name_id,txn_unique_channels_3d_id,txn_unique_types_3d_id,user_unique_channels_3d_id,user_unique_types_3d_id,user_unique_channels_7d_id,user_unique_types_7d_id,user_most_used_channel_7d_id,user_last_used_channel_id,user_most_used_type_7d_id,user_last_used_type_id,isolation_forest_prediction,isolation_forest_probability,isolation_forest_score,best_model_used,sampling_strategy_used,_c112,min_distance_to_fraud,cluster_id,cluster_fraud_rate
wcZtgrlcErakayEGdcrktA==,/d3gEBGlyOwSvnL68U5/rg==,0,NEW_JC_APP,Transfer(C2C),3.7,2400.0,,,API,2025-02-16T19:34:01.000+05:00,Active,Level 1,Product for Minor Accounts,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,0,2025-02-18T10:16:07.000+05:00,1/1/1970,1/1/1970,LAHORE CANTT LAHORE,Customer Account,15,2,0,0,1,0,0,1.30833282,2400.0,648.64,1,2490.0,2490.0,2490.0,2490.0,1,1,1,0,0,-0.036144578,1,1,1,23.7,23.7,23.7,23.7,23.7,1,1,1,3,1224.2,408.0666667,23.7,1200.25,0.25,1,1,1,NEW_JC_APP,NEW_JC_APP,0.0,Transfer(C2C),Transfer(C2C),0.0,0,1,1,2,408.0666667,3438.066667,0.25,6000.25,560.2400086,408.0666667,1200.25,1.0,37.75,0.714285714,0,21721,561,14,31,,,0,0,1,33,1,1,1,1,1,1,1,12,15,29,35,0,0.434817633,0.262221742,Isolation Forest,Original (No Sampling),#REF!,0.001107609684558359,0,0.0056
nP3m8grI+rI4U4MNm9RKqQ==,/QRlt6LP/rXls1Tn2L9dSA==,0,USSD_API,IBFT Outgoing Customer,10013.39,10000.0,,,API,2024-12-24T20:42:14.000+05:00,Suspended,Level 1,Product for Minor Accounts,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,0,2025-07-26T00:41:32.000+05:00,1/1/1970,1/1/1970,LAHORE,Customer Account,22,4,0,1,0,0,0,9.211678476,-10002.55,-0.99,3,16000.0,5333.333333,10000.0,1000.0,2,2,2,0,1,0.875,1,0,3,18144.4,6048.133333,6048.65,10045.52,2050.23,2,2,2,7,30281.43,4325.918571,3263.32,10045.52,1051.81,2,2,2,USSD,USSD_API,0.875,IBFT Outgoing Customer,IBFT Outgoing Customer,0.875,0,2,4,3,4325.918571,1152.162857,42.97,10045.52,2820.715975,7051.443333,10045.52,0.5,22.71428571,1.142857143,0,18446,485,22,14,,,0,5,1,33,1,2,2,2,2,2,2,18,23,13,16,0,0.442118617,0.232568153,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
b3icBWq2aG9SKi8bLi7Njg==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,0.0,1990.0,,,API,2025-07-29T13:57:18.000+05:00,Active,Level 1,Product for Minor Accounts,Rule Profile for L1 Standard OMNO Customer,OMNO L1 for App and USSD,0,0,0,2025-07-29T14:04:42.000+05:00,1/1/1970,1/1/1970,SHORKOT JHANG,Customer Account,15,2,0,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,0,0.0,,0.0,0.0,0.0,0,0,0,NEW_JC_APP,NEW_JC_APP,0.0,IBFT Outgoing Customer,IBFT Outgoing Customer,0.0,0,0,0,0,,,0.0,0.0,,,0.0,1.0,0.636363636,12.0,0,13951,485,14,14,,,0,0,1,33,1,0,0,0,0,0,0,12,15,13,16,0,0.438645933,0.246659286,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
otDjGxgmj3Pst9qHypqo1g==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,3145.8,3000.0,,,NEW_JC_APP,2022-01-10T16:15:51.000+05:00,Active,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,1999,2022-08-15T19:05:11.000+05:00,1/1/1970,1/1/1970,LAHORE LAHORE,Customer Account,9,2,0,0,1,0,0,8.05382351,-3005.03,-0.95,7,20450.0,2921.428571,5000.0,250.0,2,1,2,0,0,0.026894866,4,5,7,35305.88,5043.697143,4103.19,8617.89,1529.25,2,1,2,20,78633.24,3931.662,3480.72,8617.89,1529.25,5,4,5,NEW_JC_APP,Payment Gateway,0.949868074,IBFT Outgoing Customer,Online Payment,0.947521866,0,5,4,16,3931.662,1984.932,11.97,8617.89,1725.51768,3915.147895,8617.89,0.72,6.291666667,3.571428571,0,18968,485,14,14,,,3,0,1,15,1,1,2,1,2,4,5,12,17,13,23,0,0.434654074,0.262887321,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
wcZtgrlcErakayEGdcrktA==,/d3gEBGlyOwSvnL68U5/rg==,0,NEW_JC_APP,Transfer(C2C),167.15,10900.0,,,API,2025-02-16T19:34:01.000+05:00,Active,Level 1,Product for Minor Accounts,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,0,2025-02-18T10:16:07.000+05:00,1/1/1970,1/1/1970,LAHORE CANTT LAHORE,Customer Account,21,5,0,0,0,0,0,5.118891613,10900.0,65.21,5,22400.0,4480.0,7650.0,1200.0,1,1,1,0,0,1.433035714,1,0,5,3745.75,749.15,967.15,1757.15,7.15,1,1,1,8,4767.2,595.9,487.15,1757.15,7.15,1,1,1,NEW_JC_APP,NEW_JC_APP,0.0,Transfer(C2C),Transfer(C2C),0.0,0,1,5,3,595.9,5377.15,7.15,9407.15,633.5502644,595.9,1757.15,1.0,16.11111111,1.428571429,0,21721,561,14,31,,,0,0,1,33,1,1,1,1,1,1,1,12,15,29,35,0,0.435344363,0.260078695,Isolation Forest,Original (No Sampling),#REF!,0.0022409033148667917,0,0.0056
wcZtgrlcErakayEGdcrktA==,/d3gEBGlyOwSvnL68U5/rg==,0,NEW_JC_APP,Transfer(C2C),7.15,1500.0,,,API,2025-02-16T19:34:01.000+05:00,Active,Level 1,Product for Minor Accounts,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,0,2025-02-18T10:16:07.000+05:00,1/1/1970,1/1/1970,LAHORE CANTT LAHORE,Customer Account,12,1,0,0,1,0,0,1.967112357,1500.0,209.79,2,3500.0,1750.0,2500.0,1000.0,1,1,1,0,0,-0.142857143,1,1,2,14.3,7.15,7.15,7.15,7.15,1,1,1,6,1326.0,221.0,17.15,1203.7,3.7,1,1,1,NEW_JC_APP,NEW_JC_APP,0.0,Transfer(C2C),Transfer(C2C),0.0,0,1,2,4,221.0,2471.0,3.7,3577.15,440.199362,221.0,1203.7,1.0,23.5,1.0,0,21721,561,14,31,,,0,0,1,33,1,1,1,1,1,1,1,12,15,29,35,0,0.434281598,0.264403265,Isolation Forest,Original (No Sampling),#REF!,2.9462208732070354E-4,0,0.0056
8an8uU66DIkkceOTEjC1bg==,/QRlt6LP/rXls1Tn2L9dSA==,0,USSD_API,IBFT Outgoing Customer,7208.44,2900.0,,,BIO,2024-03-21T13:57:27.000+05:00,Active,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,2003,2024-09-28T15:12:46.000+05:00,1/1/1970,1/1/1970,TANGWANI KASHAM WER,Customer Account,19,5,0,0,0,0,0,8.88300784,-2902.55,-0.4,11,74302.0,6754.727273,15300.0,2.0,4,2,3,1,1,-0.570671045,4,0,11,94462.85,8587.531818,7212.5,18350.19,0.0,4,2,3,30,4.19786261E9,1.399287537E8,15415.24,8.63582973E8,0.0,11,3,6,USSD_API,USSD_API,0.961016949,IBFT Outgoing Customer,IBFT Outgoing Customer,0.953703704,1,5,7,23,1.399287537E8,1.399266433E8,0.0,8.63583011E8,2.918676909E8,1.55476393E8,8.63582973E8,0.441176471,4.333333333,4.857142857,0,3774,485,22,14,,,1,0,1,15,1,2,3,2,3,3,6,19,23,13,16,0,0.449214388,0.203845393,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
orEYuxRrdAIVgex/Vgjo6Q==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,7125.3,7000.0,,,NEW_JC_APP,2024-12-02T15:41:18.000+05:00,Active,Level 1,Product for Asaan Digital Account,Rule Profile for Asaan DigitalCustomer,OMNO L1 for App and USSD,0,0,2002,2024-12-02T16:39:23.000+05:00,1/1/1970,1/1/1970,BANDA DAUD SHAH KARAK,Customer Account,22,6,1,1,0,0,1,8.871407109,-7009.67,-0.98,41,139822.0,3410.292683,7000.0,1.0,14,3,4,1,1,1.052609747,4,0,41,224280.31,5470.251463,5094.88,35367.35,0.0,14,3,4,53,344548.66,6500.918113,5142.59,53100.0,0.0,19,3,4,NEW_JC_APP,NEW_JC_APP,0.986347485,IBFT Outgoing Customer,IBFT Outgoing Customer,0.983453981,0,4,28,25,6500.918113,3575.715472,0.0,53101.0,8642.844753,6500.918113,53100.0,0.607594937,1.961538462,11.28571429,0,18955,485,14,14,,,3,0,1,2,1,3,4,3,4,3,4,12,15,13,16,0,0.447926441,0.20905227,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
otDjGxgmj3Pst9qHypqo1g==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,3648.53,3500.0,,,NEW_JC_APP,2022-01-10T16:15:51.000+05:00,Active,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,1999,2022-08-15T19:05:11.000+05:00,1/1/1970,1/1/1970,LAHORE LAHORE,Customer Account,20,6,1,0,0,0,0,8.202079626,-3505.61,-0.96,13,18920.0,1455.384615,3400.0,220.0,4,4,4,1,1,1.404862579,3,0,13,43327.36,3332.873846,3467.0,4245.43,2199.84,4,4,4,27,123629.14,4578.857037,3477.98,32410.55,0.0,7,4,5,NEW_JC_APP,NEW_JC_APP,0.95503212,IBFT Outgoing Customer,IBFT Outgoing Customer,0.949860724,3,4,6,21,4578.857037,3147.247407,0.0,32410.55,5631.332964,4702.136957,32410.55,0.620689655,5.285714286,4.142857143,0,18968,485,14,14,,,3,0,1,15,1,4,4,4,4,4,5,12,15,13,16,0,0.441749224,0.234065928,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
9Y7GUF+uVOvEOJAs/HIO/w==,/QRlt6LP/rXls1Tn2L9dSA==,0,NEW_JC_APP,IBFT Outgoing Customer,2484.12,2400.0,,,NEW_JC_APP,2022-02-07T19:28:33.000+05:00,Active,Level 1,Product for L1 Registered Customer,Rule Profile for L1 Register Customer,Charge Profile for L1 Register Customer,0,0,1978,2025-01-29T13:17:05.000+05:00,1/1/1970,1/1/1970,GUJRAT GUJRAT,Customer Account,23,2,0,1,0,0,0,7.817673751,-2401.55,-0.96,2,8100.0,4050.0,5500.0,2600.0,1,2,1,0,1,-0.407407407,2,1,2,8669.47,4334.735,4334.73,5993.8,2675.67,1,2,1,3,8684.08,2894.693333,2675.67,5993.8,14.61,2,2,2,NEW_JC_APP,NEW_JC_APP,0.7,IBFT Outgoing Customer,IBFT Outgoing Customer,0.7,0,1,1,2,2894.693333,193.3266667,14.61,5993.8,2445.902244,2894.693333,5993.8,0.75,50.66666667,0.571428571,0,4113,485,14,14,,,3,0,1,15,1,2,1,2,1,2,2,12,15,13,16,0,0.439103395,0.244801673,Isolation Forest,Original (No Sampling),#REF!,0.0,0,0.0056
