feature,variance,std_dev,count,null_count,completeness
user_total_amount_7d,2.922058966006567e+17,540560724.2490493,68474149,0,100.0
user_total_amount_3d,1.261987140124798e+17,355244583.36824757,68474149,0,100.0
user_max_amount_to_single_recipient_7d,5.829965788386965e+16,241453220.9018336,68474149,0,100.0
user_max_balance_7d,5.829920707869606e+16,241452287.37515837,68474149,0,100.0
user_max_amount_7d,5.829904206456058e+16,241451945.6632325,68474149,0,100.0
user_max_amount_3d,3.4234355685745628e+16,185025283.9093772,68474149,0,100.0
start_balance,2.554187224389716e+16,159818247.53105372,68474149,0,100.0
user_median_amount_7d,1.247727306181235e+16,111701714.67713623,68474149,0,100.0
user_median_amount_3d,1.1242782590021014e+16,106031988.52243136,68474149,0,100.0
user_min_balance_7d,8288571148838156.0,91041590.21479225,68474149,0,100.0
user_min_amount_7d,8288559430037959.0,91041525.85517204,68474149,0,100.0
user_min_amount_3d,8109324914613628.0,90051790.17994939,68474149,0,100.0
txn_total_amount_3d,1636541154.2520106,40454.185868115186,68474149,0,100.0
txn_max_amount_3d,124611964.78159572,11162.972936525275,68474149,0,100.0
trx_amt,52979784.06596086,7278.721320806345,68474149,0,100.0
txn_avg_amount_3d,27032135.001710404,5199.24369516475,68474149,0,100.0
txn_min_amount_3d,15070667.709581504,3882.0957883057836,68474149,0,100.0
txn_amount_deviation_from_avg,2126019.917847591,1458.0877606809513,68474149,0,100.0
user_total_txns_7d,754.0172260595078,27.459374101743613,68474149,0,100.0
user_avg_time_between_txns_7d,647.073321261485,25.437635921238535,68474149,0,100.0
user_peak_hour_txns_7d,263.6531766065912,16.23740054955199,68474149,0,100.0
txn_txns_3d,260.9890266594645,16.155154801470164,68474149,0,100.0
user_total_txns_3d,260.9890266594645,16.155154801470164,68474149,0,100.0
user_off_peak_hour_txns_7d,217.2887331324931,14.740716845950644,68474149,0,100.0
user_weekend_txns_7d,76.97079357051503,8.7733000387833,68474149,0,100.0
user_unique_recipients_7d,48.991194406186835,6.999371000753341,68474149,0,100.0
txn_weekend_txns_3d,45.502127397931595,6.745526472999094,68474149,0,100.0
hour_of_day,34.85941850104386,5.904186523226029,68474149,0,100.0
user_txn_frequency_score_7d,33.06769097035984,5.750451371010787,68474149,0,100.0
txn_night_txns_3d,23.916973135969517,4.890498250277727,68474149,0,100.0
txn_unique_recipients_3d,22.02954023164619,4.693563702736567,68474149,0,100.0
user_unique_recipients_3d,22.02954023164619,4.693563702736567,68474149,0,100.0
user_night_txns_7d,11.093830072628961,3.330740168885733,68474149,0,100.0
start_balance_log,10.051337340141602,3.170384415199772,68474149,0,100.0
day_of_week,4.192486830749693,2.0475563071011487,68474149,0,100.0
user_unique_types_7d,2.6019121151227087,1.6130443624162072,68474149,0,100.0
user_unique_types_3d,1.9454018035788854,1.3947766142213904,68474149,0,100.0
txn_unique_types_3d,1.9454018035788854,1.3947766142213904,68474149,0,100.0
user_unique_channels_7d,1.154272461474437,1.0743707281355153,68474149,0,100.0
user_unique_channels_3d,0.9442749918953218,0.9717381292793454,68474149,0,100.0
txn_unique_channels_3d,0.9442749918953218,0.9717381292793454,68474149,0,100.0
is_business_hours,0.24995777765736682,0.49995777587449003,68474149,0,100.0
channel_new_jc_app,0.24914146748101837,0.4991407291345982,68474149,0,100.0
txn_multi_channel_recent,0.219663969990391,0.4686832299009545,68474149,0,100.0
is_weekend,0.19893277644758472,0.4460188072801244,68474149,0,100.0
type_transfer_c2c,0.19594211042285728,0.442653487982256,68474149,0,100.0
user_channel_diversity_score_7d,0.17677619772895986,0.4204476159154192,68474149,0,100.0
is_night,0.1538007363675227,0.3921743698503546,68474149,0,100.0
channel_payment_gateway,0.14143377099661741,0.37607681528727266,68474149,0,100.0
type_transfer_c2b,0.13314146838226093,0.3648855551844454,68474149,0,100.0
user_type_diversity_score_7d,0.12568649388759137,0.3545229102435996,68474149,0,100.0
txn_is_high_activity_3d,0.11888044901406397,0.3447904421733061,68474149,0,100.0
type_mobile_load,0.11484796891427365,0.3388922674158761,68474149,0,100.0
is_unusual_hour,0.08239558845616048,0.2870463176147022,68474149,0,100.0
user_recipient_concentration_ratio_7d,0.0819896753627343,0.28633839309937864,68474149,0,100.0
channel_ussd,0.0802206789640357,0.28323255279723003,68474149,0,100.0
channel_ussd_api,0.0750294486961392,0.2739150391930666,68474149,0,100.0
channel_mobile_app,0.054078891673000264,0.2325486866722757,68474149,0,100.0
night_weekend_combo,0.052514498836524065,0.22916042161883904,68474149,0,100.0
type_bill_payment,0.0,0.0,68474149,0,100.0
user_days_since_last_txn,0.0,0.0,68474149,0,100.0
user_avg_amount_3d,,,68474149,18787347,78.47006083874611
user_avg_amount_7d,,,68474149,11167261,85.9780722114287
user_avg_start_balance_7d,,,68474149,11167261,85.9780722114287
user_avg_end_balance_7d,,,68474149,11167261,85.9780722114287
user_balance_volatility_7d,,,68474149,11167261,85.9780722114287
user_avg_amount_per_recipient_7d,,,68474149,14534878,82.49000316555933
